CLOSEDATE,Company_House_Number,LEGALNAME,LIVE,NAME,OPENDATE,UKPRN,URN,DataSourcePath,DataSourceId
null,03182459,ACORN TRAINING CONSULTANTS LIMITED,TRUE,null,21/01/2026,10000108,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,01048360,ACORN VILLAGES LIMITED,TRUE,null,05/08/2024,10000109,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,02036103,ACORNS CHILDREN'S HOSPICE TRUST,TRUE,null,15/09/2024,10000110,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
02/09/2010,04019761,ACORNS TO OAKS LTD,FALSE,null,16/04/2007,10000111,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,04624913,ACS DISTANCE EDUCATION LIMITED,TRUE,null,27/03/2026,10000112,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,03647635,ACTION WEST LONDON,TRUE,null,15/01/2024,10000113,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
09/07/2007,null,ACTION FOR CARERS (SURREY),FALSE,null,29/07/2005,10000114,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
09/10/2023,02631340,A4E LTD,FALSE,null,13/07/2023,10000115,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,02907172,SUSSEX RURAL COMMUNITY COUNCIL,TRUE,Action in Rural Sussex,25/03/2023,10000116,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
08/11/2007,04129584,ACTIV 8 BUSINESS SOLUTIONS LIMITED,FALSE,null,16/04/2007,10000117,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
17/12/2009,05068771,ACTIVE HEALTH GROUP LIMITED,FALSE,null,16/04/2007,10000118,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,02539519,ACTIVE LEARNING & DEVELOPMENT LIMITED,TRUE,null,17/07/2026,10000119,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
19/07/2011,04336967,ACTIVE LEARNING RESEARCH ASSOCIATES LIMITED,FALSE,null,16/04/2007,10000120,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
17/12/2009,03527688,ACTIVE PERSONAL LEARNING LIMITED,FALSE,null,16/04/2007,10000121,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
20/04/2023,03037327,ACTIVIA LTD,FALSE,Activia Training,30/01/2023,10000122,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,OC311557,ACTON JENNINGS LLP,TRUE,null,21/01/2026,10000123,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
14/09/2016,03306227,ACTON TRAINING CENTRE LIMITED,FALSE,ATC,15/07/2016,10000124,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
28/07/2014,04766152,ACUITIV LIMITED,FALSE,null,25/06/2014,10000125,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
11/03/2024,04771177,ACUMEN COMMUNITY ENTERPRISE DEVELOPMENT TRUST LIMITED,FALSE,null,31/10/2023,10000126,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
17/12/2009,03038482,ACUMEN TRAINING INTERNATIONAL LIMITED,FALSE,null,30/01/2009,10000127,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,02554449,ACUNITY LIMITED,TRUE,null,27/11/2023,10000128,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
08/06/2018,SC202455,A D SERVICES (SCOTLAND) LIMITED,FALSE,null,02/05/2018,10000129,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
02/09/2011,null,ADAMS' GRAMMAR SCHOOL,FALSE,null,29/07/2005,10000130,123593,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
14/03/2020,null,"THE THOMAS ADAMS SCHOOL, WEM",FALSE,null,23/01/2020,10000131,123589,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
23/10/2015,NI039426,ADAPT N.I.,FALSE,null,21/09/2015,10000132,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
13/10/2016,04540789,ADAS CONSULTING LIMITED,FALSE,null,09/09/2016,10000133,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,00819566,ADCOTE SCHOOL FOR GIRLS,TRUE,null,22/07/2026,10000134,123602,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,02580377,WE ARE WITH YOU,TRUE,null,07/03/2025,10000135,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,null,ADDEY AND STANHOPE SCHOOL,TRUE,null,14/07/2026,10000136,100748,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,00593232,ADECCO UK LIMITED,TRUE,null,26/04/2026,10000137,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
